customer_id,time_period,after,treatment_group,sales
940,3,0,treatment,0
907,3,0,treatment,2.07
642,3,0,treatment,4.74
609,3,0,treatment,0
344,3,0,control,5.08
311,3,0,control,2.72
808,3,0,treatment,0
543,3,0,treatment,3.05
510,3,0,treatment,0
212,3,0,control,1.71
709,3,0,treatment,3.87
941,3,0,treatment,0
908,3,0,treatment,0
643,3,0,treatment,0
610,3,0,treatment,15.18
345,3,0,control,0
312,3,0,control,1.45
809,3,0,treatment,0
544,3,0,treatment,5.83
511,3,0,treatment,0
213,3,0,control,4.52
710,3,0,treatment,10.2
942,3,0,treatment,0
909,3,0,treatment,5.14
644,3,0,treatment,2.22
611,3,0,treatment,0
346,3,0,control,7.13
313,3,0,control,0
810,3,0,treatment,10.72
545,3,0,treatment,6.3
512,3,0,treatment,0
214,3,0,control,0
711,3,0,treatment,0
943,3,0,treatment,3.3
910,3,0,treatment,0
645,3,0,treatment,0
612,3,0,treatment,1.07
347,3,0,control,8.08
314,3,0,control,3.93
811,3,0,treatment,0.79
546,3,0,treatment,5.45
513,3,0,treatment,4.46
215,3,0,control,0.7
712,3,0,treatment,0
944,3,0,treatment,4.59
911,3,0,treatment,0
646,3,0,treatment,0
613,3,0,treatment,3.26
348,3,0,control,2.31
315,3,0,control,0
812,3,0,treatment,3.56
547,3,0,treatment,0
514,3,0,treatment,3.7
216,3,0,control,5.18
713,3,0,treatment,10.99
945,3,0,treatment,5.16
912,3,0,treatment,0
647,3,0,treatment,7.21
614,3,0,treatment,0
349,3,0,control,1.57
316,3,0,control,1.13
813,3,0,treatment,0
548,3,0,treatment,5.86
515,3,0,treatment,0.31
217,3,0,control,4.77
714,3,0,treatment,0
946,3,0,treatment,0
913,3,0,treatment,0.62
648,3,0,treatment,1.45
615,3,0,treatment,9.55
350,3,0,control,0
317,3,0,control,4.13
814,3,0,treatment,8.92
549,3,0,treatment,4.68
516,3,0,treatment,3.47
218,3,0,control,0
715,3,0,treatment,0
947,3,0,treatment,2.94
914,3,0,treatment,0
649,3,0,treatment,6.58
616,3,0,treatment,9.33
351,3,0,control,0
318,3,0,control,0
815,3,0,treatment,5.21
550,3,0,treatment,6.62
517,3,0,treatment,0
219,3,0,control,0
716,3,0,treatment,0
948,3,0,treatment,9.28
915,3,0,treatment,1.87
650,3,0,treatment,6.21
617,3,0,treatment,1.93
352,3,0,control,10.34
319,3,0,control,7.31
816,3,0,treatment,5.13
551,3,0,treatment,4.24
518,3,0,treatment,0
220,3,0,control,0.23
717,3,0,treatment,2.76
949,3,0,treatment,12.14
916,3,0,treatment,2.85
651,3,0,treatment,0.19
618,3,0,treatment,14.17
353,3,0,control,2.18
320,3,0,control,0
817,3,0,treatment,4.68
552,3,0,treatment,10.72
519,3,0,treatment,3.59
221,3,0,control,0
718,3,0,treatment,0
950,3,0,treatment,0
917,3,0,treatment,5.21
652,3,0,treatment,3.52
619,3,0,treatment,0
354,3,0,control,1.95
321,3,0,control,0
818,3,0,treatment,4.31
553,3,0,treatment,0
520,3,0,treatment,3.99
222,3,0,control,6.46
719,3,0,treatment,5.53
951,3,0,treatment,8.81
918,3,0,treatment,6.82
653,3,0,treatment,0
620,3,0,treatment,0.71
355,3,0,control,0.79
322,3,0,control,13.95
819,3,0,treatment,4.3
554,3,0,treatment,0.1
521,3,0,treatment,0
223,3,0,control,0
720,3,0,treatment,3.64
952,3,0,treatment,4.58
919,3,0,treatment,3.96
654,3,0,treatment,6.43
621,3,0,treatment,6.81
356,3,0,control,4.49
323,3,0,control,0
820,3,0,treatment,0
555,3,0,treatment,9.36
522,3,0,treatment,8.63
224,3,0,control,0
721,3,0,treatment,10.58
953,3,0,treatment,5.91
920,3,0,treatment,8
655,3,0,treatment,0
622,3,0,treatment,4.82
357,3,0,control,0
324,3,0,control,13.42
821,3,0,treatment,0
556,3,0,treatment,0
523,3,0,treatment,0
225,3,0,control,0
722,3,0,treatment,5.04
954,3,0,treatment,8.2
921,3,0,treatment,0
656,3,0,treatment,0
623,3,0,treatment,2
358,3,0,control,7.29
325,3,0,control,5.56
822,3,0,treatment,1.2
557,3,0,treatment,10.44
524,3,0,treatment,9.84
226,3,0,control,3.22
723,3,0,treatment,2.15
955,3,0,treatment,2.01
922,3,0,treatment,0.37
657,3,0,treatment,5.59
624,3,0,treatment,1.79
359,3,0,control,0
326,3,0,control,3.33
823,3,0,treatment,0
558,3,0,treatment,1.6
525,3,0,treatment,3.8
227,3,0,control,0
724,3,0,treatment,1.73
956,3,0,treatment,13.2
923,3,0,treatment,0
658,3,0,treatment,0
625,3,0,treatment,0
360,3,0,control,6.68
327,3,0,control,0
824,3,0,treatment,3.93
559,3,0,treatment,0
526,3,0,treatment,8.17
228,3,0,control,7.88
725,3,0,treatment,1.47
957,3,0,treatment,1.81
924,3,0,treatment,5.23
659,3,0,treatment,0
626,3,0,treatment,2.6
361,3,0,control,0.77
328,3,0,control,1.24
825,3,0,treatment,6.15
560,3,0,treatment,0
527,3,0,treatment,0
229,3,0,control,0
726,3,0,treatment,0
958,3,0,treatment,5.72
925,3,0,treatment,0.19
660,3,0,treatment,0
627,3,0,treatment,6.83
362,3,0,control,0
329,3,0,control,13.27
826,3,0,treatment,4.56
561,3,0,treatment,0.53
528,3,0,treatment,7.82
230,3,0,control,2.85
727,3,0,treatment,8.24
959,3,0,treatment,5.16
926,3,0,treatment,5.19
661,3,0,treatment,6.01
628,3,0,treatment,5.7
363,3,0,control,0
330,3,0,control,2.55
827,3,0,treatment,5.19
562,3,0,treatment,1.69
529,3,0,treatment,3.82
231,3,0,control,0
728,3,0,treatment,2.69
960,3,0,treatment,0
927,3,0,treatment,8.39
662,3,0,treatment,0.96
629,3,0,treatment,2.07
364,3,0,control,0.36
331,3,0,control,2.3
828,3,0,treatment,0.94
563,3,0,treatment,2.64
530,3,0,treatment,3.81
232,3,0,control,6.74
729,3,0,treatment,0
961,3,0,treatment,0
928,3,0,treatment,1.77
663,3,0,treatment,1.06
630,3,0,treatment,8.8
365,3,0,control,1.2
332,3,0,control,0
829,3,0,treatment,2.56
564,3,0,treatment,9.86
266,3,0,control,3.01
233,3,0,control,0
730,3,0,treatment,8.88
962,3,0,treatment,1.58
465,3,0,control,7.42
664,3,0,treatment,5.98
399,3,0,control,9.47
366,3,0,control,7.12
863,3,0,treatment,5.24
830,3,0,treatment,0
565,3,0,treatment,0
267,3,0,control,0
234,3,0,control,5.78
731,3,0,treatment,0
963,3,0,treatment,1.81
466,3,0,control,0
665,3,0,treatment,1.98
400,3,0,control,0
367,3,0,control,2.38
864,3,0,treatment,7.95
831,3,0,treatment,1.26
566,3,0,treatment,0.92
268,3,0,control,4.43
235,3,0,control,0
732,3,0,treatment,4.64
964,3,0,treatment,0
467,3,0,control,0
666,3,0,treatment,5.72
401,3,0,control,5.99
368,3,0,control,0
865,3,0,treatment,6.4
832,3,0,treatment,0
567,3,0,treatment,1.68
269,3,0,control,2.24
236,3,0,control,1.39
733,3,0,treatment,1.45
965,3,0,treatment,3.43
468,3,0,control,0
667,3,0,treatment,1.39
402,3,0,control,2.21
369,3,0,control,2.72
866,3,0,treatment,0
833,3,0,treatment,0
568,3,0,treatment,0
270,3,0,control,0
237,3,0,control,4.59
734,3,0,treatment,7.36
966,3,0,treatment,3.48
469,3,0,control,0
668,3,0,treatment,0
403,3,0,control,0
370,3,0,control,0
867,3,0,treatment,0.31
834,3,0,treatment,0.55
569,3,0,treatment,2.42
271,3,0,control,4.34
238,3,0,control,2.19
735,3,0,treatment,0.59
967,3,0,treatment,5.27
470,3,0,control,0.07
669,3,0,treatment,7.6
404,3,0,control,0
371,3,0,control,6.94
868,3,0,treatment,2.08
835,3,0,treatment,3.81
570,3,0,treatment,5.76
272,3,0,control,1.55
239,3,0,control,0
736,3,0,treatment,5.8
968,3,0,treatment,0.58
471,3,0,control,8.66
670,3,0,treatment,5.44
405,3,0,control,9.81
372,3,0,control,3.98
869,3,0,treatment,7.14
836,3,0,treatment,0
571,3,0,treatment,0
273,3,0,control,0
240,3,0,control,0
737,3,0,treatment,2.19
969,3,0,treatment,0
472,3,0,control,2.95
671,3,0,treatment,0.53
406,3,0,control,0
373,3,0,control,0
870,3,0,treatment,0
837,3,0,treatment,1.27
572,3,0,treatment,0
274,3,0,control,5.6
241,3,0,control,0
738,3,0,treatment,0
970,3,0,treatment,2.21
473,3,0,control,0
672,3,0,treatment,2.56
407,3,0,control,0.04
374,3,0,control,0.92
871,3,0,treatment,0
838,3,0,treatment,3.53
573,3,0,treatment,0
275,3,0,control,0
242,3,0,control,3.66
739,3,0,treatment,0
971,3,0,treatment,8.71
474,3,0,control,2.2
673,3,0,treatment,0
408,3,0,control,0
375,3,0,control,7.08
872,3,0,treatment,0
839,3,0,treatment,0
574,3,0,treatment,0
276,3,0,control,0
243,3,0,control,0
740,3,0,treatment,0
972,3,0,treatment,1.02
475,3,0,control,1
674,3,0,treatment,7.4
409,3,0,control,0
376,3,0,control,7.92
873,3,0,treatment,6.3
840,3,0,treatment,0
575,3,0,treatment,0
277,3,0,control,4.15
244,3,0,control,0
741,3,0,treatment,0
973,3,0,treatment,0
476,3,0,control,2.12
675,3,0,treatment,5.95
410,3,0,control,0
377,3,0,control,0
874,3,0,treatment,3.11
841,3,0,treatment,2.88
576,3,0,treatment,0.59
278,3,0,control,0
245,3,0,control,0
742,3,0,treatment,0
974,3,0,treatment,6.25
477,3,0,control,2.63
676,3,0,treatment,1.56
411,3,0,control,9.55
378,3,0,control,6.73
875,3,0,treatment,0
842,3,0,treatment,0
577,3,0,treatment,0
279,3,0,control,6.31
246,3,0,control,7.34
743,3,0,treatment,9.45
975,3,0,treatment,2.66
478,3,0,control,0
677,3,0,treatment,7.72
412,3,0,control,2.25
379,3,0,control,0
876,3,0,treatment,6.34
843,3,0,treatment,0
578,3,0,treatment,3.24
280,3,0,control,10.08
247,3,0,control,4.64
744,3,0,treatment,2.01
976,3,0,treatment,0
479,3,0,control,1.43
678,3,0,treatment,0
413,3,0,control,0
380,3,0,control,0
877,3,0,treatment,0
844,3,0,treatment,0
579,3,0,treatment,0
281,3,0,control,2.72
248,3,0,control,2.31
745,3,0,treatment,10.99
977,3,0,treatment,5.61
480,3,0,control,1.83
679,3,0,treatment,0
414,3,0,control,0.01
381,3,0,control,0
878,3,0,treatment,0
845,3,0,treatment,10.56
580,3,0,treatment,0
282,3,0,control,4.07
249,3,0,control,0.45
746,3,0,treatment,7.62
978,3,0,treatment,6.35
481,3,0,control,4.92
680,3,0,treatment,4.53
415,3,0,control,0
382,3,0,control,1.75
879,3,0,treatment,5.02
846,3,0,treatment,0
581,3,0,treatment,4.91
283,3,0,control,0
250,3,0,control,4.61
747,3,0,treatment,5.49
979,3,0,treatment,6.66
482,3,0,control,2.2
681,3,0,treatment,0
416,3,0,control,0
383,3,0,control,0
880,3,0,treatment,0
847,3,0,treatment,3.73
582,3,0,treatment,5.89
284,3,0,control,4.89
251,3,0,control,0
748,3,0,treatment,3.76
980,3,0,treatment,4.57
483,3,0,control,2.29
682,3,0,treatment,0
417,3,0,control,0.83
384,3,0,control,0
881,3,0,treatment,0.46
848,3,0,treatment,0.92
583,3,0,treatment,14.59
285,3,0,control,0
252,3,0,control,3.57
749,3,0,treatment,0
981,3,0,treatment,0
484,3,0,control,8.61
683,3,0,treatment,1.31
418,3,0,control,0
385,3,0,control,1.14
882,3,0,treatment,0
849,3,0,treatment,0.19
584,3,0,treatment,0
286,3,0,control,5.46
253,3,0,control,1.88
750,3,0,treatment,5.65
982,3,0,treatment,10.95
485,3,0,control,0
684,3,0,treatment,0
419,3,0,control,0
386,3,0,control,5.51
883,3,0,treatment,3.35
850,3,0,treatment,0
585,3,0,treatment,4.94
287,3,0,control,0
254,3,0,control,0
751,3,0,treatment,0
983,3,0,treatment,12.64
486,3,0,control,7.49
685,3,0,treatment,12.39
420,3,0,control,1.34
387,3,0,control,5.18
884,3,0,treatment,2.19
851,3,0,treatment,0
586,3,0,treatment,0
288,3,0,control,1.6
255,3,0,control,0
752,3,0,treatment,0.55
984,3,0,treatment,1.41
487,3,0,control,0
686,3,0,treatment,1.25
421,3,0,control,0.66
388,3,0,control,3.09
885,3,0,treatment,0
852,3,0,treatment,14.03
587,3,0,treatment,4
289,3,0,control,1.05
256,3,0,control,4.32
753,3,0,treatment,4.17
985,3,0,treatment,0
488,3,0,control,6.8
687,3,0,treatment,7.88
422,3,0,control,0
389,3,0,control,10.45
886,3,0,treatment,10.87
853,3,0,treatment,4.67
588,3,0,treatment,0.83
290,3,0,control,3.96
257,3,0,control,0
754,3,0,treatment,0.71
986,3,0,treatment,0
489,3,0,control,0
688,3,0,treatment,2.84
423,3,0,control,0
390,3,0,control,2.16
887,3,0,treatment,0
854,3,0,treatment,13.75
589,3,0,treatment,0
291,3,0,control,0
258,3,0,control,0
755,3,0,treatment,1.58
987,3,0,treatment,7.62
490,3,0,control,7.41
689,3,0,treatment,0
424,3,0,control,3.63
391,3,0,control,1.07
888,3,0,treatment,7.8
855,3,0,treatment,8.73
590,3,0,treatment,0
292,3,0,control,5.88
259,3,0,control,0.9
756,3,0,treatment,0
988,3,0,treatment,6.26
491,3,0,control,5.76
690,3,0,treatment,3.23
425,3,0,control,0
392,3,0,control,5.27
889,3,0,treatment,6.59
856,3,0,treatment,8.77
591,3,0,treatment,7.04
293,3,0,control,0
260,3,0,control,0
757,3,0,treatment,0
989,3,0,treatment,5.52
492,3,0,control,0
691,3,0,treatment,7.92
426,3,0,control,1.77
393,3,0,control,0
890,3,0,treatment,0.14
857,3,0,treatment,0
592,3,0,treatment,2.39
294,3,0,control,4.07
261,3,0,control,0
758,3,0,treatment,0.28
990,3,0,treatment,6.55
493,3,0,control,5.05
692,3,0,treatment,0
427,3,0,control,5.39
394,3,0,control,1.55
891,3,0,treatment,0
858,3,0,treatment,0
593,3,0,treatment,3.04
295,3,0,control,2.61
262,3,0,control,4.33
759,3,0,treatment,0
991,3,0,treatment,0.3
494,3,0,control,4.79
693,3,0,treatment,0
428,3,0,control,3.91
395,3,0,control,0.66
892,3,0,treatment,6.51
859,3,0,treatment,5
594,3,0,treatment,3.38
296,3,0,control,8.2
263,3,0,control,3.31
760,3,0,treatment,0
992,3,0,treatment,2.4
495,3,0,control,0.37
694,3,0,treatment,0
429,3,0,control,0
396,3,0,control,4.32
893,3,0,treatment,10.48
860,3,0,treatment,4.6
595,3,0,treatment,0
297,3,0,control,0
264,3,0,control,0
761,3,0,treatment,0
993,3,0,treatment,0
496,3,0,control,0
695,3,0,treatment,0.9
430,3,0,control,0.85
397,3,0,control,3.67
894,3,0,treatment,0
861,3,0,treatment,0
596,3,0,treatment,2.87
298,3,0,control,0
265,3,0,control,0
762,3,0,treatment,2.76
994,3,0,treatment,1.76
497,3,0,control,0
696,3,0,treatment,0
431,3,0,control,8.03
398,3,0,control,0
895,3,0,treatment,0
862,3,0,treatment,0
597,3,0,treatment,4.24
299,3,0,control,5.73
796,3,0,treatment,2.63
763,3,0,treatment,0
498,3,0,control,0
303,3,0,control,7.58
800,3,0,treatment,5.7
432,3,0,control,3.88
502,3,0,treatment,0
454,3,0,control,6.98
301,3,0,control,0
436,3,0,control,8.49
300,3,0,control,7.98
797,3,0,treatment,5.7
764,3,0,treatment,0.64
499,3,0,control,0.03
304,3,0,control,0
801,3,0,treatment,13.4
433,3,0,control,7.32
503,3,0,treatment,4.01
455,3,0,control,8.66
302,3,0,control,0
437,3,0,control,3.02
766,3,0,treatment,0
798,3,0,treatment,1.09
765,3,0,treatment,10.2
500,3,0,control,2.75
452,3,0,control,0
463,3,0,control,0
434,3,0,control,0
445,3,0,control,8.96
456,3,0,control,0
450,3,0,control,11.97
438,3,0,control,2.46
767,3,0,treatment,9.13
799,3,0,treatment,7.95
789,3,0,treatment,0
501,3,0,treatment,2.51
453,3,0,control,4.06
464,3,0,control,0
435,3,0,control,0
446,3,0,control,0
457,3,0,control,0
451,3,0,control,0
439,3,0,control,4.51
768,3,0,treatment,4.06
461,3,0,control,0
790,3,0,treatment,0
443,3,0,control,2.43
772,3,0,treatment,3.66
448,3,0,control,5.06
771,3,0,treatment,8.77
447,3,0,control,5.19
458,3,0,control,0
787,3,0,treatment,0
440,3,0,control,0
769,3,0,treatment,0.29
462,3,0,control,0
791,3,0,treatment,1.57
444,3,0,control,3.59
773,3,0,treatment,5.19
449,3,0,control,5.26
460,3,0,control,8.6
795,3,0,treatment,4.63
459,3,0,control,0.97
788,3,0,treatment,9.72
441,3,0,control,0
770,3,0,treatment,2.03
781,3,0,treatment,4.48
792,3,0,treatment,9.99
780,3,0,treatment,0
774,3,0,treatment,3.78
785,3,0,treatment,6.99
779,3,0,treatment,0.42
794,3,0,treatment,1.54
778,3,0,treatment,1.91
793,3,0,treatment,0
442,3,0,control,0
775,3,0,treatment,2.55
782,3,0,treatment,0
784,3,0,treatment,0
776,3,0,treatment,0
783,3,0,treatment,3.98
786,3,0,treatment,0.65
777,3,0,treatment,4.33
701,4,0,treatment,5.8
699,4,0,treatment,5.62
702,4,0,treatment,0
600,4,0,treatment,3.79
703,4,0,treatment,0
599,4,0,treatment,13.53
605,4,0,treatment,7.61
700,4,0,treatment,0
604,4,0,treatment,3.1
705,4,0,treatment,4.43
601,4,0,treatment,4.03
704,4,0,treatment,6.48
698,4,0,treatment,6.86
606,4,0,treatment,0.17
697,4,0,treatment,0
632,4,0,treatment,4.21
598,4,0,treatment,5.16
631,4,0,treatment,9.08
9,4,0,control,0
603,4,0,treatment,0
706,4,0,treatment,10.08
602,4,0,treatment,0
732,4,0,treatment,5.65
7,4,0,control,0
607,4,0,treatment,0
898,4,0,treatment,4.31
633,4,0,treatment,0
11,4,0,control,0
70,4,0,control,6.4
10,4,0,control,4.79
69,4,0,control,0
707,4,0,treatment,0
68,4,0,control,1.63
733,4,0,treatment,3.75
8,4,0,control,1.9
608,4,0,treatment,2.33
899,4,0,treatment,2.78
634,4,0,treatment,0
12,4,0,control,0
71,4,0,control,5.34
730,4,0,treatment,8.96
638,4,0,treatment,1.41
708,4,0,treatment,0
896,4,0,treatment,2.99
734,4,0,treatment,9.27
642,4,0,treatment,4.3
609,4,0,treatment,0
900,4,0,treatment,4.25
635,4,0,treatment,0
13,4,0,control,1.37
72,4,0,control,7.93
731,4,0,treatment,1.1
639,4,0,treatment,6.19
709,4,0,treatment,6.94
897,4,0,treatment,2.02
735,4,0,treatment,2.12
643,4,0,treatment,0
610,4,0,treatment,15.99
901,4,0,treatment,2.36
636,4,0,treatment,0
14,4,0,control,0.49
73,4,0,control,7.26
40,4,0,control,5.3
640,4,0,treatment,4.51
710,4,0,treatment,9.55
769,4,0,treatment,0.23
736,4,0,treatment,6.31
644,4,0,treatment,4.67
611,4,0,treatment,0
902,4,0,treatment,4.79
637,4,0,treatment,0.7
15,4,0,control,7.42
74,4,0,control,0
41,4,0,control,2.07
641,4,0,treatment,0
711,4,0,treatment,0
770,4,0,treatment,1.56
737,4,0,treatment,3.81
645,4,0,treatment,0
612,4,0,treatment,1.74
903,4,0,treatment,5.73
741,4,0,treatment,0
16,4,0,control,0
75,4,0,control,0
42,4,0,control,11.2
745,4,0,treatment,8.85
712,4,0,treatment,0
771,4,0,treatment,9.49
738,4,0,treatment,0.67
646,4,0,treatment,0
613,4,0,treatment,5.01
904,4,0,treatment,1.03
742,4,0,treatment,0
17,4,0,control,4.51
76,4,0,control,0.74
43,4,0,control,8.53
746,4,0,treatment,9.44
713,4,0,treatment,14.21
772,4,0,treatment,7.7
739,4,0,treatment,0
647,4,0,treatment,7.24
614,4,0,treatment,0
905,4,0,treatment,11.17
743,4,0,treatment,11.95
18,4,0,control,0
77,4,0,control,10.01
44,4,0,control,6.65
747,4,0,treatment,7.7
714,4,0,treatment,0
773,4,0,treatment,4.71
740,4,0,treatment,0
648,4,0,treatment,0.76
615,4,0,treatment,11.83
906,4,0,treatment,3.45
744,4,0,treatment,2.21
19,4,0,control,4.89
78,4,0,control,5.15
45,4,0,control,7.62
748,4,0,treatment,5.74
715,4,0,treatment,0
774,4,0,treatment,5.53
49,4,0,control,4.24
649,4,0,treatment,6.88
616,4,0,treatment,9.15
907,4,0,treatment,3.38
53,4,0,control,5.51
20,4,0,control,0
79,4,0,control,3.66
46,4,0,control,1.58
749,4,0,treatment,0
716,4,0,treatment,0
775,4,0,treatment,3
50,4,0,control,4.66
650,4,0,treatment,6.55
617,4,0,treatment,3.07
908,4,0,treatment,1.16
54,4,0,control,2.61
21,4,0,control,0
80,4,0,control,0
47,4,0,control,0
750,4,0,treatment,7.52
717,4,0,treatment,4.29
776,4,0,treatment,0
51,4,0,control,0.02
651,4,0,treatment,3.03
618,4,0,treatment,13.8
909,4,0,treatment,6.27
55,4,0,control,0
22,4,0,control,5.1
81,4,0,control,9.51
48,4,0,control,3.8
751,4,0,treatment,3.82
718,4,0,treatment,0
777,4,0,treatment,7.16
52,4,0,control,0
652,4,0,treatment,3.2
619,4,0,treatment,0
910,4,0,treatment,0
56,4,0,control,4.67
23,4,0,control,0
82,4,0,control,3.6
914,4,0,treatment,0
752,4,0,treatment,0.27
719,4,0,treatment,6.15
778,4,0,treatment,4.82
918,4,0,treatment,6.61
653,4,0,treatment,0
620,4,0,treatment,3.04
911,4,0,treatment,0
57,4,0,control,4.78
24,4,0,control,3.04
83,4,0,control,0
915,4,0,treatment,4.62
753,4,0,treatment,3.87
720,4,0,treatment,5.54
779,4,0,treatment,2.34
919,4,0,treatment,5.82
654,4,0,treatment,8.37
621,4,0,treatment,8.08
912,4,0,treatment,0
58,4,0,control,0
25,4,0,control,0
84,4,0,control,3.13
916,4,0,treatment,4.07
754,4,0,treatment,1.78
721,4,0,treatment,11.64
780,4,0,treatment,0
920,4,0,treatment,10.25
655,4,0,treatment,0
622,4,0,treatment,5.68
913,4,0,treatment,2.36
59,4,0,control,6.37
26,4,0,control,0
85,4,0,control,0
917,4,0,treatment,6.29
755,4,0,treatment,4.38
722,4,0,treatment,6.31
781,4,0,treatment,4.13
921,4,0,treatment,0
656,4,0,treatment,0
623,4,0,treatment,3.34
785,4,0,treatment,8.35
60,4,0,control,6.05
27,4,0,control,0
86,4,0,control,1.84
789,4,0,treatment,0
756,4,0,treatment,0
723,4,0,treatment,3.2
782,4,0,treatment,0
922,4,0,treatment,4.09
657,4,0,treatment,7.22
624,4,0,treatment,1.87
786,4,0,treatment,0.8
61,4,0,control,1.71
28,4,0,control,1.63
87,4,0,control,4.98
790,4,0,treatment,0
757,4,0,treatment,0
724,4,0,treatment,0.92
783,4,0,treatment,4.25
923,4,0,treatment,0
658,4,0,treatment,0
625,4,0,treatment,0
787,4,0,treatment,0
62,4,0,control,5.8
29,4,0,control,4.54
88,4,0,control,1.47
791,4,0,treatment,3.41
758,4,0,treatment,0
725,4,0,treatment,2.84
784,4,0,treatment,0
924,4,0,treatment,6.93
659,4,0,treatment,1.04
626,4,0,treatment,0.51
788,4,0,treatment,8.04
63,4,0,control,2.21
30,4,0,control,0.26
89,4,0,control,0
792,4,0,treatment,10.69
759,4,0,treatment,0
726,4,0,treatment,0
93,4,0,control,0
925,4,0,treatment,3.34
660,4,0,treatment,0
627,4,0,treatment,8.67
97,4,0,control,3.49
64,4,0,control,13.21
31,4,0,control,0
90,4,0,control,8.99
793,4,0,treatment,0
760,4,0,treatment,0
727,4,0,treatment,8.95
94,4,0,control,0
926,4,0,treatment,5.1
661,4,0,treatment,8.45
628,4,0,treatment,7.29
98,4,0,control,0.12
65,4,0,control,4.6
32,4,0,control,0
91,4,0,control,0
794,4,0,treatment,3.22
761,4,0,treatment,0
728,4,0,treatment,4.29
95,4,0,control,0
927,4,0,treatment,8.66
662,4,0,treatment,3.84
629,4,0,treatment,1.68
99,4,0,control,3.62
66,4,0,control,0
33,4,0,control,3.39
92,4,0,control,8.21
795,4,0,treatment,4.69
762,4,0,treatment,4.76
729,4,0,treatment,0
96,4,0,control,7.02
928,4,0,treatment,4.38
663,4,0,treatment,0
630,4,0,treatment,10.04
100,4,0,control,9.76
67,4,0,control,0
34,4,0,control,5.02
1,4,0,control,2.87
796,4,0,treatment,1.71
763,4,0,treatment,0
995,4,0,treatment,0
962,4,0,treatment,2.38
929,4,0,treatment,0
664,4,0,treatment,6.36
399,4,0,control,9.77
101,4,0,control,0
366,4,0,control,5.81
35,4,0,control,0
2,4,0,control,0
797,4,0,treatment,6.17
764,4,0,treatment,1.18
996,4,0,treatment,0
963,4,0,treatment,3.76
930,4,0,treatment,6.06
665,4,0,treatment,1.66
400,4,0,control,0
102,4,0,control,0.46
367,4,0,control,4.59
36,4,0,control,0
3,4,0,control,0.75
798,4,0,treatment,0.69
765,4,0,treatment,11.12
997,4,0,treatment,0.92
964,4,0,treatment,0
931,4,0,treatment,7.68
666,4,0,treatment,7.15
401,4,0,control,7.49
103,4,0,control,4.66
368,4,0,control,0
37,4,0,control,0
4,4,0,control,2.85
799,4,0,treatment,8.74
766,4,0,treatment,0
998,4,0,treatment,0
965,4,0,treatment,2.34
932,4,0,treatment,6.72
667,4,0,treatment,0.07
402,4,0,control,5.59
104,4,0,control,4.45
369,4,0,control,1.98
38,4,0,control,0
5,4,0,control,0.46
800,4,0,treatment,6.69
767,4,0,treatment,7.99
999,4,0,treatment,0
966,4,0,treatment,4.09
933,4,0,treatment,2.28
668,4,0,treatment,0
403,4,0,control,0
105,4,0,control,1.28
370,4,0,control,0
39,4,0,control,0
6,4,0,control,0.21
801,4,0,treatment,13.92
768,4,0,treatment,5.29
1000,4,0,treatment,9.83
967,4,0,treatment,6.5
934,4,0,treatment,6.38
669,4,0,treatment,8.71
404,4,0,control,0
106,4,0,control,4.07
371,4,0,control,9.29
338,4,0,control,5.56
305,4,0,control,3.82
802,4,0,treatment,0
537,4,0,treatment,8.64
504,4,0,treatment,2.44
968,4,0,treatment,2.33
935,4,0,treatment,3.17
670,4,0,treatment,7.1
405,4,0,control,11.18
107,4,0,control,4.36
372,4,0,control,5.37
339,4,0,control,5.22
306,4,0,control,0
803,4,0,treatment,1
538,4,0,treatment,1.61
505,4,0,treatment,0
969,4,0,treatment,0
936,4,0,treatment,6.21
671,4,0,treatment,1.67
406,4,0,control,0
108,4,0,control,0
373,4,0,control,0
340,4,0,control,6.54
307,4,0,control,6.69
804,4,0,treatment,4.52
539,4,0,treatment,3.76
506,4,0,treatment,0.2
970,4,0,treatment,3.49
937,4,0,treatment,0.9
672,4,0,treatment,3.88
407,4,0,control,0
109,4,0,control,6.38
374,4,0,control,0.88
341,4,0,control,7.28
308,4,0,control,3.43
805,4,0,treatment,0
540,4,0,treatment,3.46
507,4,0,treatment,0
971,4,0,treatment,9.54
938,4,0,treatment,0
673,4,0,treatment,0
408,4,0,control,0
110,4,0,control,0.72
375,4,0,control,7.47
342,4,0,control,8.63
309,4,0,control,0
806,4,0,treatment,5.27
541,4,0,treatment,2.93
508,4,0,treatment,0
972,4,0,treatment,1.47
939,4,0,treatment,3.1
674,4,0,treatment,9.69
409,4,0,control,2.4
111,4,0,control,3.58
376,4,0,control,10.31
343,4,0,control,9.93
310,4,0,control,0
807,4,0,treatment,0
542,4,0,treatment,1.46
509,4,0,treatment,6.31
973,4,0,treatment,0
940,4,0,treatment,0
675,4,0,treatment,6.62
410,4,0,control,0
112,4,0,control,0
377,4,0,control,0
344,4,0,control,5.3
311,4,0,control,2.03
808,4,0,treatment,0
543,4,0,treatment,3.85
510,4,0,treatment,0
974,4,0,treatment,7.82
941,4,0,treatment,0
676,4,0,treatment,4.82
411,4,0,control,11.36
113,4,0,control,0
378,4,0,control,10.34
345,4,0,control,0.48
312,4,0,control,0
809,4,0,treatment,0
544,4,0,treatment,6.62
511,4,0,treatment,0
975,4,0,treatment,4.17
942,4,0,treatment,0
677,4,0,treatment,7.95
